date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:27	105/105	---MCZ	200	added ('OK')	text/plain	etag:W/%2263d3b053-58%22	https://traze.com/robots.txt		(from )
15:12:28	459227/459227	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2011:12:26%20GMT	https://traze.com/	C:/Users/lxraa/Videos/Traze/traze.com/index.html	(from )
15:12:28	1261/1261	---MCZ	200	added ('OK')	text/css	etag:W/%2267c0cd7b-4ed%22	https://traze.com/lib/plugins/wp-traze-newsletter/assets/css/newsletter.min.css?ver=1.0.0	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/wp-traze-newsletter/assets/css/newsletter.min8a54.css	(from https://traze.com/)
15:12:30	997/997	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e3304ace8e3fefd62e20f3876869613c%22	https://traze.com/feed/	C:/Users/lxraa/Videos/Traze/traze.com/feed/index.html	(from https://traze.com/)
15:12:30	32032/32032	---MCZ	200	added ('OK')	text/css	etag:W/%2268b1a7af-7d20%22	https://traze.com/lib/plugins/zfx-widgets/assets/public/css/vendor.min.css?ver=1.4.5	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/zfx-widgets/assets/public/css/vendor.min47a7.css	(from https://traze.com/)
15:12:30	325184/325184	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2011:12:28%20GMT	https://traze.com/mx/	C:/Users/lxraa/Videos/Traze/traze.com/mx/index.html	(from https://traze.com/)
15:12:30	456809/456809	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2011:12:28%20GMT	https://traze.com/ar/	C:/Users/lxraa/Videos/Traze/traze.com/ar/index.html	(from https://traze.com/)
15:12:30	24612/24612	---MCZ	200	added ('OK')	text/css	etag:W/%2268b1a7af-6024%22	https://traze.com/lib/plugins/zfx-widgets/assets/public/css/style.min.css?ver=1.4.5	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/zfx-widgets/assets/public/css/style.min47a7.css	(from https://traze.com/)
15:12:30	673/673	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e3304ace8e3fefd62e20f3876869613c%22	https://traze.com/comments/feed/	C:/Users/lxraa/Videos/Traze/traze.com/comments/feed/index.html	(from https://traze.com/)
15:12:31	4719/4719	---MCZ	200	added ('OK')	text/css	etag:W/%2268aedbb8-126f%22	https://traze.com/lib/plugins/metform/public/assets/lib/cute-alert/style.css?ver=4.0.5	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/metform/public/assets/lib/cute-alert/style631d.css	(from https://traze.com/)
15:12:31	22474/22474	---MCZ	200	added ('OK')	text/css	etag:W/%2268aedbb8-57ca%22	https://traze.com/lib/plugins/metform/public/assets/css/text-editor.css?ver=4.0.5	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/metform/public/assets/css/text-editor631d.css	(from https://traze.com/)
15:12:31	56533/56533	---MCZ	200	added ('OK')	text/css	etag:W/%2268aedbd2-dcd5%22	https://traze.com/lib/plugins/metform-pro/public/assets/css/style.min.css?ver=3.8.9	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/metform-pro/public/assets/css/style.min6f61.css	(from https://traze.com/)
15:12:31	53527/53527	---MCZ	200	added ('OK')	text/css	etag:W/%2268aedbf9-d117%22	https://traze.com/lib/plugins/elementor/assets/css/frontend.min.css?ver=3.31.3	C:/Users/lxraa/Videos/Traze/traze.com/lib/plugins/elementor/assets/css/frontend.min94b7.css	(from https://traze.com/)
15:12:32	31146/31146	---MCZ	200	added ('OK')	text/css	etag:W/%2268aedc17-79aa%22	https://traze.com/lib/uploads/elementor/css/post-11550.css?ver=1756290071	C:/Users/lxraa/Videos/Traze/traze.com/lib/uploads/elementor/css/post-11550e363.css	(from https://traze.com/)
